key,context,en,de,es,fr,it,pt-br,ja,ko,zh-hans,zh-hant
home.cta.watch,Button label | Homepage CTA,Watch Trailer,Trailer ansehen,Ver tráiler,Voir la bande-annonce,Guarda il trailer,Ver trailer,トレーラーを見る,트레일러 보기,观看预告片,觀看預告片
home.feature.comfort.body,Body text | Homepage feature card,Designed for approachable VR sessions with clear interactions and a welcoming pace.,Entwickelt für zugängliche VR-Sessions mit klaren Interaktionen und einem angenehmen Tempo.,"Diseñado para sesiones de VR accesibles, con interacciones claras y un ritmo acogedor.","Conçu pour des sessions VR accessibles, avec des interactions claires et un rythme accueillant.","Pensato per sessioni VR accessibili, con interazioni chiare e un ritmo accogliente.","Projetado para sessões de VR acessíveis, com interações claras e um ritmo acolhedor.",わかりやすい操作と親しみやすいテンポで、気軽に楽しめるVR体験を目指して設計されています。,직관적인 상호작용과 편안한 템포로 누구나 부담 없이 즐길 수 있는 VR 플레이를 위해 설계되었습니다.,以清晰的交互和轻松友好的节奏打造，带来更易上手的 VR 体验。,以清晰的互動與輕鬆友善的節奏打造，帶來更容易上手的 VR 體驗。
home.feature.comfort.title,Heading | Homepage feature card,"Comfortable, Accessible Play","Komfortables, zugängliches Spielen",Juego cómodo y accesible,Une expérience confortable et accessible,Gioco comodo e accessibile,Jogabilidade confortável e acessível,快適で遊びやすいプレイ,편안하고 접근성 높은 플레이,舒适且易上手的游玩体验,舒適且容易上手的遊玩體驗
home.feature.manga.body,Body text | Homepage feature card,Step into stylized scenes that blend comic aesthetics with immersive VR interaction.,"Tauche ein in stilisierte Szenen, die Comic-Ästhetik mit immersiver VR-Interaktion verbinden.",Adéntrate en escenas estilizadas que combinan una estética de cómic con una interacción de VR inmersiva.,Entrez dans des scènes stylisées qui mêlent esthétique manga et interactions VR immersives.,Entra in scene stilizzate che fondono un’estetica da fumetto con un’interazione VR immersiva.,Entre em cenas estilizadas que combinam estética de quadrinhos com interação VR imersiva.,コミックのようなビジュアルと没入感のあるVR体験が融合した、スタイリッシュな世界に飛び込もう。,만화 같은 미학과 몰입감 있는 VR 상호작용이 어우러진 스타일리시한 장면 속으로 들어가 보세요.,走进融合漫画美学与沉浸式 VR 互动的风格化场景。,走進融合漫畫美學與沉浸式 VR 互動的風格化場景。
home.feature.manga.title,Heading | Homepage feature card,Manga-Inspired Presentation,Von Manga inspirierte Präsentation,Presentación inspirada en el manga,Une présentation inspirée du manga,Presentazione ispirata ai manga,Apresentação inspirada em mangá,マンガ風の演出,만화풍 연출,漫画风呈现,漫畫風呈現
home.feature.story.body,Body text | Homepage feature card,"Meet quirky locals, build trust, and uncover what makes Kotobuki Town worth fighting for.","Lerne schräge Einheimische kennen, baue Vertrauen auf und entdecke, was Kotobuki Town so schützenswert macht.","Conoce a excéntricos lugareños, gana su confianza y descubre por qué Kotobuki Town merece la pena luchar por ella.","Rencontrez des habitants hauts en couleur, gagnez leur confiance et découvrez ce qui rend Kotobuki Town digne d’être défendue.","Incontra gli eccentrici abitanti del posto, conquista la loro fiducia e scopri cosa rende Kotobuki Town degna di essere salvata.","Conheça moradores excêntricos, conquiste sua confiança e descubra por que vale a pena lutar por Kotobuki Town.",個性豊かな住人たちと出会い、信頼を築きながら、Kotobuki Townを守る価値を見つけていこう。,"개성 넘치는 주민들을 만나 신뢰를 쌓고, 왜 Kotobuki Town를 지켜야 하는지 직접 발견해 보세요.",结识个性十足的居民，建立信任，并找出 Kotobuki Town 值得守护的理由。,結識個性十足的居民、建立信任，並找出 Kotobuki Town 值得守護的理由。
home.feature.story.title,Heading | Homepage feature card,Story-Driven Adventure,Storygetriebenes Abenteuer,Aventura centrada en la historia,Aventure portée par l’histoire,Avventura guidata dalla storia,Aventura guiada pela história,物語重視のアドベンチャー,스토리 중심 어드벤처,剧情驱动冒险,劇情驅動冒險
home.feature.voice.body,Body text | Homepage feature card,Enjoy performances that bring each character and their personal stakes to life.,"Erlebe Darbietungen, die jede Figur und ihre persönlichen Beweggründe zum Leben erwecken.",Disfruta de interpretaciones que dan vida a cada personaje y a sus motivaciones personales.,Profitez de performances qui donnent vie à chaque personnage et à ses enjeux personnels.,Goditi interpretazioni che danno vita a ogni personaggio e alla sua storia personale.,Aproveite atuações que dão vida a cada personagem e aos seus conflitos pessoais.,それぞれのキャラクターとその想いを生き生きと描く演技を楽しめます。,각 캐릭터와 그들이 짊어진 사연을 생생하게 살려내는 연기를 즐겨 보세요.,欣赏让每位角色及其个人处境都鲜活起来的精彩演出。,欣賞讓每位角色及其個人處境都鮮活起來的精彩演出。
home.feature.voice.title,Heading | Homepage feature card,Voice-Acted Characters,Voll vertonte Charaktere,Personajes con actuación de voz,Personnages doublés,Personaggi doppiati,Personagens com voz,フルボイスのキャラクター,풀 보이스 캐릭터,全语音角色,全語音角色
home.features.title,Heading | Homepage highlights section,Highlights,Highlights,Destacados,Points forts,Punti salienti,Destaques,見どころ,주요 특징,亮点,亮點
home.final_cta.body,Body text | Homepage final CTA section,Ready to save the sushi bar? Jump in now or watch the trailer first.,"Bereit, die Sushi-Bar zu retten? Leg jetzt los oder sieh dir zuerst den Trailer an.",¿Listo para salvar el bar de sushi? Empieza ahora o mira primero el tráiler.,Prêt à sauver le bar à sushi ? Lancez-vous maintenant ou regardez d’abord la bande-annonce.,Pronto a salvare il sushi bar? Inizia subito o guarda prima il trailer.,Pronto para salvar o sushi bar? Entre agora ou assista ao trailer primeiro.,寿司バーを救う準備はできた？ 今すぐ飛び込むか、まずはトレーラーをチェックしよう。,스시 바를 구할 준비가 됐나요? 지금 바로 시작하거나 먼저 트레일러를 확인해 보세요.,准备好拯救寿司店了吗？ 现在就开始，或先看看预告片。,準備好拯救壽司店了嗎？ 現在就開始，或先看看預告片。
home.final_cta.title,Heading | Homepage final CTA section,Ready to save the sushi bar? Jump in now!,"Bereit, die Sushi-Bar zu retten? Leg jetzt los!",¿Listo para salvar el bar de sushi? ¡Empieza ahora!,Prêt à sauver le bar à sushi ? Lancez-vous maintenant !,Pronto a salvare il sushi bar? Inizia subito!,Pronto para salvar o sushi bar? Entre agora!,寿司バーを救う準備はできた？ 今すぐ飛び込もう！,스시 바를 구할 준비가 됐나요? 지금 바로 시작하세요!,准备好拯救寿司店了吗？ 现在就开始吧！,準備好拯救壽司店了嗎？ 現在就開始吧！
home.form.category,Field label | Homepage contact form,Category,Kategorie,Categoría,Catégorie,Categoria,Categoria,カテゴリ,카테고리,类别,類別
home.form.category.general,Option label | Homepage contact form category field,General Inquiry,Allgemeine Anfrage,Consulta general,Demande générale,Richiesta generale,Consulta geral,一般的な問い合わせ,일반 문의,一般咨询,一般諮詢
home.form.category.placeholder,Placeholder | Homepage contact form category field,Select a category,Kategorie auswählen,Seleccionar categoría,Sélectionner une catégorie,Seleziona categoria,Selecionar categoria,カテゴリを選択,카테고리 선택,选择类别,選擇類別
home.form.category.press,Option label | Homepage contact form category field,Press Request,Presseanfrage,Solicitud de prensa,Demande presse,Richiesta stampa,Solicitação de imprensa,プレス問い合わせ,언론 문의,媒体请求,媒體請求
home.form.category.tech,Option label | Homepage contact form category field,Technical Support,Technischer Support,Soporte técnico,Support technique,Supporto tecnico,Suporte técnico,テクニカルサポート,기술 지원,技术支持,技術支援
home.form.email,Field label | Homepage contact form,Email,E-Mail,Correo electrónico,E-mail,Email,E-mail,メールアドレス,이메일,电子邮箱,電子郵件
home.form.message,Field label | Homepage contact form,Message,Nachricht,Mensaje,Message,Messaggio,Mensagem,メッセージ,메시지,消息,訊息
home.form.name,Field label | Homepage contact form,Name,Name,Nombre,Nom,Nome,Nome,お名前,이름,姓名,姓名
home.form.website,Field label | Homepage contact form honeypot,Website,Webseite,Sitio web,Site web,Sito web,Site,ウェブサイト,웹사이트,网站,網站
home.form.submit,Button label | Homepage contact form submit button,Send Message,Nachricht senden,Enviar mensaje,Envoyer un message,Invia messaggio,Enviar mensagem,メッセージを送信,메시지 보내기,发送消息,傳送訊息
home.hero.title,Heading | Homepage hero,Save a Sushi Bar from greedy landsharks,Rette eine Sushi-Bar vor gierigen Landspekulanten,Salva un sushi bar de codiciosos especuladores,Sauvez un bar à sushi de prédateurs immobiliers cupides,Salva un sushi bar da avidi speculatori,Salve um sushi bar de especuladores gananciosos,強欲な“ランドシャーク”たちから寿司バーを救え,탐욕스러운 투기꾼들로부터 스시 바를 구하세요,从贪婪的地产掠夺者手中拯救寿司店,從貪婪的地產掠奪者手中拯救壽司店
home.hero.lede,Body text | Homepage hero,"An interactive anime story! Save a beloved local sushi bar from dastardly landsharks, get distracted in countless mini games and make unforgettable friends in this larger-than-life narrative adventure. Written by Moa (Hatoful Boyfriend) and featuring a fully voiced cast!","Eine interaktive Anime-Geschichte! Rette eine geliebte lokale Sushibar vor hinterhältigen Immobilienhaien, verliere dich in unzähligen Minispielen und finde unvergessliche Freundschaften in diesem überlebensgroßen Erzählabenteuer. Geschrieben von Moa (Hatoful Boyfriend) und mit kompletter Sprachausgabe!","¡Una historia de anime interactiva! Salva un querido bar de sushi de unos malvados especuladores, piérdete en incontables minijuegos y haz amistades inolvidables en esta aventura narrativa a lo grande. Escrito por Moa (Hatoful Boyfriend) y con doblaje completo.","Une histoire d’anime interactive ! Sauve un bar à sushis adoré des redoutables promoteurs, perds-toi dans d’innombrables mini-jeux et fais-toi des ami·e·s inoubliables dans cette aventure narrative plus grande que nature. Écrit par Moa (Hatoful Boyfriend) et intégralement doublé !","Una storia anime interattiva! Salva un amato sushi bar locale da perfidi &quot;landshark&quot;, perditi in innumerevoli minigiochi e stringi amicizie indimenticabili in questa avventura narrativa fuori scala. Scritto da Moa (Hatoful Boyfriend) e con doppiaggio completo!","Uma história de anime interativa! Salve um sushi bar queridinho dos impiedosos &quot;tubarões&quot; do mercado, mergulhe em inúmeros minigames e faça amizades inesquecíveis nesta grande aventura narrativa. Roteiro de Moa (Hatoful Boyfriend) e dublagem completa!",インタラクティブなアニメ物語！ 悪徳地上げ屋から愛される寿司屋を守り、数え切れないミニゲームに寄り道し、忘れられない友だちに出会う——スケール大のナラティブアドベンチャー。Moa（Hatoful Boyfriend）脚本、フルボイス対応！,"인터랙티브 애니메이션 스토리! 교활한 지주들로부터 사랑받는 스시 바를 지켜내고, 수많은 미니게임에 빠져들며, 잊지 못할 친구들을 만나는 초대형 내러티브 어드벤처. Moa(하토풀 보이프렌드) 각본, 풀 보이스 수록!",一段互动式动画剧情！从奸商手里守护备受喜爱的小镇寿司店，在无数小游戏中流连忘返，并在这场“超大号”的叙事冒险里结识一生难忘的朋友。由 Moa（Hatoful Boyfriend）执笔，全程配音！,一段互動式動畫故事！從奸商手中守護小鎮最受喜愛的壽司店，在無數迷你遊戲中流連忘返，並在這場「超規格」的敘事冒險裡結識一生難忘的朋友。由 Moa（Hatoful Boyfriend）執筆，完整配音！
home.highlights.item1,Bullet | Homepage highlights list,An interactive anime story!,Eine interaktive Anime-Geschichte!,¡Una historia de anime interactiva!,Une histoire d’anime interactive !,Una storia anime interattiva!,História de anime interativa!,インタラクティブなアニメ物語！,인터랙티브 애니메이션 스토리!,互动式动画剧情！,互動式動畫故事！
home.highlights.item2,Bullet | Homepage highlights list,Pop out manga panels bring the tale to life!,Herausplatzende Manga-Panels erwecken die Story zum Leben!,¡Paneles de manga emergentes que dan vida al relato!,Des planches de manga jaillissent pour donner vie au récit !,Pannelli manga che saltano fuori e danno vita al racconto!,Painéis de mangá saltam da tela e dão vida à trama!,飛び出すマンガパネルで物語が動き出す！,튀어나오는 만화 패널로 이야기가 살아납니다!,弹出的漫画面板让故事跃然纸上！,彈出的漫畫分鏡讓故事躍然眼前！
home.highlights.item3,Bullet | Homepage highlights list,Colorful cast of small town characters!,Bunter Cast aus Kleinstadt-Charakteren!,¡Reparto colorido de personajes de pueblo!,Galerie de personnages hauts en couleur !,Cast variopinto di personaggi di provincia!,Elenco coloridíssimo de personagens de cidade pequena!,小さな町の多彩なキャスト！,개성만점 소도시 캐릭터들!,小镇群像，角色鲜活！,小鎮群像，角色鮮活！
home.highlights.item4,Bullet | Homepage highlights list,Wholesome and over-the-top!,Herzlich und überdreht!,¡Tierno y desenfrenado!,Chaleureux et déjanté !,Dolce e sopra le righe!,Aconchegante e exagerado!,ほのぼのでド派手！,잔잔함과 오버액션의 절묘한 조화!,治愈又夸张！,療癒又浮誇！
home.highlights.item5,Bullet | Homepage highlights list,8+ hours of story quests!,8+ Stunden Story-Quests!,¡Más de 8 horas de misiones de historia!,Plus de 8 h de quêtes de l’histoire !,Oltre 8 ore di missioni della storia!,Mais de 8h de missões de história!,8時間以上のストーリークエスト！,8시간 이상 스토리 퀘스트!,8+小时主线任务！,8+ 小時主線任務！
home.highlights.item6,Bullet | Homepage highlights list,"4+ hours of mini-games - fishing, archery, ghost hunting and more!","4+ Stunden Minispiele – Angeln, Bogenschießen, Geisterjagd und mehr!","¡Más de 4 horas de minijuegos: pesca, tiro con arco, caza de fantasmas y más!","Plus de 4 h de mini-jeux – pêche, tir à l’arc, chasse aux fantômes et plus encore !","Oltre 4 ore di minigiochi – pesca, tiro con l’arco, caccia ai fantasmi e altro!","Mais de 4h de minigames — pesca, arco e flecha, caça a fantasmas e muito mais!",4時間以上のミニゲーム——釣り、アーチェリー、ゴーストハントなど！,"4시간 이상 미니게임 – 낚시, 양궁, 유령 사냥 등!",4+小时小游戏——钓鱼、射箭、捉鬼等！,4+ 小時迷你遊戲——釣魚、射箭、捉鬼等！
home.highlights.item7,Bullet | Homepage highlights list,Fully playable in VR and non-VR modes!,Spielbar in Flatscreen und VR!,¡Disponible en pantalla plana y VR!,Disponible en écran plat et en VR !,Disponibile in flat-screen e VR!,Disponível em tela comum e VR!,フラットスクリーンとVRの両対応！,플랫스크린과 VR 모두 지원!,支持平面屏幕与VR玩法！,同時支援平面螢幕與VR！
home.highlights.item8,Bullet | Homepage highlights list,Full voice acting from a stacked 20+ cast!,Vollständige Sprachausgabe mit 20+ Sprecher*innen!,Doblaje completo con más de 20 actores.,Doublage intégral par plus de 20 comédien·ne·s !,Doppiaggio completo con più di 20 interpreti!,Dublagem completa com mais de 20 vozes!,20名以上によるフルボイス！,20명 이상이 참여한 풀 보이스!,20+位演员全程配音！,20+ 位演員全程配音！
home.highlights.item9,Bullet | Homepage highlights list,Narrative by the creator of Hatoful Boyfriend!,Story vom/der Schöpfer*in von Hatoful Boyfriend!,Guion de la creadora de Hatoful Boyfriend.,Scénario par la créatrice de Hatoful Boyfriend !,Storia dalla creatrice di Hatoful Boyfriend!,Roteiro da criadora de Hatoful Boyfriend!,Hatoful Boyfriendの作者による物語！,Hatoful Boyfriend 작가가 집필한 서사!,出自Hatoful Boyfriend作者之手的剧情！,出自Hatoful Boyfriend作者之手的劇情！
home.kicker,Eyebrow text | Homepage hero,Cozy Narrative Adventure,Gemütliches Erzählabenteuer,Aventura narrativa acogedora,Aventure narrative chaleureuse,Accogliente avventura narrativa,Aventura narrativa aconchegante,心あたたまる物語アドベンチャー,포근한 내러티브 어드벤처,温馨叙事冒险,溫馨敘事冒險
home.media.title,Heading | Homepage media section,Watch the Trailer,Trailer ansehen,Ver tráiler,Voir la bande-annonce,Guarda il trailer,Assistir trailer,トレーラーを見る,트레일러 보기,观看预告片,觀看預告片
"home.reviews.title","Heading | Homepage reviews section","Critics Are Loving {Sushi Ben}","Die Kritik liebt {Sushi Ben}","La crítica adora {Sushi Ben}","La presse adore {Sushi Ben}","La critica ama {Sushi Ben}","A crítica está adorando {Sushi Ben}","批評家も絶賛する{Sushi Ben}","평론가들도 {Sushi Ben}을 극찬하고 있어요","媒体盛赞 {Sushi Ben}","媒體盛讚 {Sushi Ben}"
home.reviews.summary_label,Label text | Shared review quote summary prefix,Localized summary:,Lokalisierte Zusammenfassung:,Resumen localizado:,Résumé localisé :,Riepilogo localizzato:,Resumo localizado:,翻訳サマリー：,번역 요약:,本地化摘要：,本地化摘要：
home.reviews.summary1,Summary text | Shared review quote summary,One of the most visually distinctive VR adventures in recent memory.,Eines der visuell markantesten VR-Abenteuer der letzten Zeit.,Una de las aventuras de VR más distintivas visualmente de los últimos tiempos.,L’une des aventures VR les plus marquantes visuellement de ces dernières années.,Una delle avventure VR visivamente più distintive degli ultimi tempi.,Uma das aventuras em VR visualmente mais marcantes dos últimos tempos.,近年でも特にビジュアル面で際立ったVRアドベンチャーのひとつ。,최근 VR 어드벤처 중에서도 시각적으로 가장 독보적인 작품 중 하나입니다.,这是近年来视觉风格最鲜明的 VR 冒险游戏之一。,這是近年來視覺風格最鮮明的 VR 冒險遊戲之一。
