key,context,en
page.products.title,Products browser title,Products | Incogent
page.products.description,Products meta description,Explore products created by Incogent.
products.kicker,Products eyebrow,Incogent products
products.heading,Products heading,Tools for interactive development
products.intro,Products introduction,This catalog is designed to grow with Incogent. Blackbird is the first featured product.
products.blackbird.body,Blackbird catalog card,Explore the product capabilities workflows licensing and purchase options for Blackbird.
page.blackbird.title,Blackbird browser title,Blackbird | Build less tooling. Ship more games.
page.blackbird.description,Blackbird meta description,"Blackbird turns scripts, commands, and development workflows into a fast, organized desktop tool for game teams."
blackbird.kicker,Blackbird eyebrow,Blackbird
blackbird.heading,Blackbird hero heading,Build less tooling. Ship more games.
blackbird.hero.body1,Blackbird hero paragraph,"Blackbird turns your scripts, commands, and development workflows into a fast, organized desktop tool—without requiring you to build and maintain a custom internal application."
blackbird.hero.body2,Blackbird hero paragraph,Run builds. Deploy to devices. Collect logs. Manage projects. Automate repetitive work. Keep everything your team needs in one place.
blackbird.organized.title,Blackbird section heading,"Your development workflows, organized"
blackbird.organized.body1,Blackbird section paragraph,"Command-line tools are powerful, but they can be difficult to remember, share, and use consistently. Blackbird gives them a clean, approachable interface with configurable actions, inputs, presets, queues, and status tracking."
blackbird.organized.body2,Blackbird section paragraph,Your existing scripts remain yours. Blackbird simply makes them easier to run.
blackbird.rebuilding.title,Blackbird section heading,Stop rebuilding the same internal tools
blackbird.rebuilding.body,Blackbird section paragraph,"Small studios rarely have the time or resources to create polished internal development software. Blackbird provides the reusable interface, so you can focus on the scripts and workflows that are unique to your project."
blackbird.rebuilding.item1,Blackbird statement,No bespoke GUI for every utility.
blackbird.rebuilding.item2,Blackbird statement,No collection of forgotten batch files.
blackbird.rebuilding.item3,Blackbird statement,No searching through old documentation for the right command.
blackbird.game_dev.title,Blackbird section heading,Built for game development
blackbird.game_dev.intro,Blackbird capability introduction,Blackbird is designed around the practical needs of game developers:
blackbird.game_dev.item1,Blackbird capability,Build and package projects
blackbird.game_dev.item2,Blackbird capability,Deploy builds to local or connected devices
blackbird.game_dev.item3,Blackbird capability,"Launch, stop, and uninstall applications"
blackbird.game_dev.item4,Blackbird capability,Capture and retrieve logs
blackbird.game_dev.item5,Blackbird capability,Run maintenance and cleanup tasks
blackbird.game_dev.item6,Blackbird capability,Chain repeatable workflows together
blackbird.game_dev.item7,Blackbird capability,"Expose complex tools through simple, configurable actions"
blackbird.team.title,Blackbird section heading,Powerful enough for developers. Simple enough for the whole team.
blackbird.team.body1,Blackbird section paragraph,"Create actions with clearly labeled options, sensible defaults, and reusable presets."
blackbird.team.body2,Blackbird section paragraph,"Technical team members can build the underlying workflows, while artists, designers, producers, and testers can run them safely without memorizing command-line syntax."
blackbird.infrastructure.title,Blackbird section heading,Your tools. Your infrastructure.
blackbird.infrastructure.body1,Blackbird section paragraph,"Blackbird runs your existing local scripts and commands. It does not require you to move your projects, builds, or workflows into a hosted service."
blackbird.infrastructure.body2,Blackbird section paragraph,Keep control of your development environment while making it significantly easier to use.
blackbird.final.title,Blackbird closing heading,Make repetitive work disappear.
blackbird.final.body1,Blackbird closing paragraph,"Spend less time typing commands, maintaining one-off utilities, and explaining internal processes."
blackbird.final.body2,Blackbird closing paragraph,Put your workflows in Blackbird and get back to making games.
page.shop.title,Shop browser title,Shop | Incogent
page.shop.description,Shop meta description,Purchase products and licenses from Incogent.
shop.kicker,Shop eyebrow,Incogent shop
shop.heading,Shop heading,Products and licenses
shop.intro,Shop introduction,The shop will provide a scalable home for Blackbird and future Incogent products.
shop.blackbird.body,Shop card,Review Blackbird editions license types and purchasing options.
page.blackbird_shop.title,Blackbird shop browser title,Blackbird — Coming Soon | Incogent
page.blackbird_shop.description,Blackbird shop meta description,Blackbird will be available for purchase soon. Check back for pricing and license options.
blackbird_shop.kicker,Blackbird shop eyebrow,Blackbird shop
blackbird_shop.heading,Blackbird shop heading,Available for purchase soon
blackbird_shop.intro,Blackbird shop introduction,Blackbird will soon be available to buy. Check back here for pricing and license options.
blackbird_shop.editions.title,Blackbird shop heading,Pricing and licenses
blackbird_shop.editions.body,Blackbird shop placeholder,Pricing and license details will be available here when sales open.
blackbird_shop.checkout.title,Checkout heading,Purchase Blackbird
blackbird_shop.checkout.body,Checkout placeholder,Purchases are not open yet. You’ll be able to buy Blackbird here soon.
blackbird_shop.checkout.disabled,Disabled checkout action,Coming soon
page.services.title,Services browser title,Development Services | Incogent
page.services.description,Services meta description,Unreal Engine XR console porting consulting and contract development services from Incogent.
services.kicker,Services eyebrow,Development services
services.heading,Services heading,Technical experience where it matters
services.intro,Services introduction,Incogent supports teams building and shipping demanding interactive products.
services.unreal.title,Service category,Unreal Engine development
services.unreal.body,Service placeholder,Architecture systems tools performance and production support.
services.xr.title,Service category,XR development
services.xr.body,Service placeholder,Interaction performance platform integration and immersive product development.
services.console.title,Service category,Console development
services.console.body,Service placeholder,Platform integration certification readiness optimization and release support.
services.porting.title,Service category,Porting and optimization
services.porting.body,Service placeholder,Bring existing products to new platforms while protecting performance and experience quality.
services.consulting.title,Service category,Consulting
services.consulting.body,Service placeholder,Focused technical direction planning reviews and problem solving.
services.contract.title,Service category,Contract development
services.contract.body,Service placeholder,Embedded engineering and production support sized to the needs of the project.
services.contact.title,Services contact heading,Talk with Incogent about your project
page.about.title,About browser title,About | Incogent
page.about.description,About meta description,Learn about Incogent its experience and its approach to products and development.
about.kicker,About eyebrow,About Incogent
about.heading,About heading,Products expertise and practical engineering
about.intro,About introduction,Incogent builds its own products and helps other teams solve difficult interactive development problems.
about.story.title,About section heading,Company
about.story.body,About placeholder,The company story mission and focus will be developed here.
about.experience.title,About section heading,Experience
about.experience.body,About placeholder,Relevant product platform engine and shipping experience will be summarized here.
about.approach.title,About section heading,Approach
about.approach.body,About placeholder,This section will explain how Incogent works with customers partners and clients.
page.privacy.title,Privacy browser title,Privacy Policy | Incogent
page.privacy.description,Privacy meta description,Privacy Policy for Incogent.
privacy.kicker,Privacy eyebrow,Legal
privacy.heading,Privacy heading,Privacy Policy
privacy.draft.title,Privacy warning heading,Policy drafting required
privacy.draft.body,Privacy warning,The Incogent Privacy Policy has not been finalized. Do not publish this placeholder as the production policy.
page.eula.title,EULA browser title,EULA | Incogent
page.eula.description,EULA meta description,End User License Agreement for Blackbird.
eula.kicker,EULA eyebrow,Legal
eula.heading,EULA heading,End User License Agreement

blackbird.video.title,Accessible title for the embedded YouTube player,Blackbird video

legal.switch.label,Accessible label for legal navigation,Legal page switcher
page.docs.index.title,Blackbird documentation title,Blackbird documentation | Incogent
page.docs.index.description,Blackbird documentation summary,Guides for using Blackbird and creating your own Actions.
page.docs.getting-started.install.title,Blackbird documentation title,Install and activate Blackbird | Incogent
page.docs.getting-started.install.description,Blackbird documentation summary,"Install Blackbird, choose packages, and finish activation."
page.docs.getting-started.first-action.title,Blackbird documentation title,Run your first Action | Incogent
page.docs.getting-started.first-action.description,Blackbird documentation summary,Check Blackbird with System Information before configuring tools.
page.docs.getting-started.project.title,Blackbird documentation title,Add your first project | Incogent
page.docs.getting-started.project.description,Blackbird documentation summary,Give project-specific Actions a place to store their settings.
page.docs.getting-started.interface.title,Blackbird documentation title,Find your way around | Incogent
page.docs.getting-started.interface.description,Blackbird documentation summary,Understand the main window without learning every setting first.
page.docs.actions.title,Blackbird documentation title,Find and run Actions | Incogent
page.docs.actions.description,Blackbird documentation summary,"Search, filter, arrange, and run the tasks installed in Blackbird."
page.docs.usage.settings.title,Blackbird documentation title,"Projects, settings, and shared values | Incogent"
page.docs.usage.settings.description,Blackbird documentation summary,Understand where settings come from and why Actions can share them.
page.docs.usage.devices.title,Blackbird documentation title,Select and refresh devices | Incogent
page.docs.usage.devices.description,Blackbird documentation summary,Choose the target for device-aware Actions.
page.docs.usage.queue.title,Blackbird documentation title,Prepare and run a queue | Incogent
page.docs.usage.queue.description,Blackbird documentation summary,Arrange several Actions and review their saved settings before execution.
page.docs.usage.workflows.title,Blackbird documentation title,Save and reuse Workflows | Incogent
page.docs.usage.workflows.description,Blackbird documentation summary,Turn a configured queue into a reusable sequence.
page.docs.usage.schedules.title,Blackbird documentation title,Schedule Actions and Workflows | Incogent
page.docs.usage.schedules.description,Blackbird documentation summary,Set a time for saved work and inspect the result.
page.docs.usage.results.title,Blackbird documentation title,"Results, Output, and History | Incogent"
page.docs.usage.results.description,Blackbird documentation summary,Understand what happened and collect the right diagnostics.
page.docs.setup.android.title,Blackbird documentation title,Set up Android tools and devices | Incogent
page.docs.setup.android.description,Blackbird documentation summary,Prepare ADB and verify a connected Android target.
page.docs.setup.steamos.title,Blackbird documentation title,Set up a SteamOS device | Incogent
page.docs.setup.steamos.description,Blackbird documentation summary,Pair a development host and verify SteamOS discovery.
page.docs.setup.unreal.title,Blackbird documentation title,Configure Unreal Engine | Incogent
page.docs.setup.unreal.description,Blackbird documentation summary,Point Blackbird at the engine installation and existing Unreal project.
page.docs.setup.unity.title,Blackbird documentation title,Configure Unity | Incogent
page.docs.setup.unity.description,Blackbird documentation summary,Select the project and matching Unity Editor.
page.docs.setup.godot.title,Blackbird documentation title,Configure Godot | Incogent
page.docs.setup.godot.description,Blackbird documentation summary,"Choose the editor, project, and export prerequisites."
page.docs.tasks.unreal-build.title,Blackbird documentation title,Package an Unreal project | Incogent
page.docs.tasks.unreal-build.description,Blackbird documentation summary,Configure and run Package UE Build and check its output.
page.docs.tasks.unity-build.title,Blackbird documentation title,Build a Unity project | Incogent
page.docs.tasks.unity-build.description,Blackbird documentation summary,Configure and run Build Unity Project and check its output.
page.docs.tasks.godot-export.title,Blackbird documentation title,Export a Godot build | Incogent
page.docs.tasks.godot-export.description,Blackbird documentation summary,Configure and run Export Godot Build and check its output.
page.docs.tasks.android.title,Blackbird documentation title,Deploy and launch on Android | Incogent
page.docs.tasks.android.description,Blackbird documentation summary,Configure and run Deploy Android Build and check its output.
page.docs.tasks.steamos.title,Blackbird documentation title,Install and launch on SteamOS | Incogent
page.docs.tasks.steamos.description,Blackbird documentation summary,Configure and run Install Steam Build and check its output.
page.docs.tasks.logs.title,Blackbird documentation title,Collect project and device logs | Incogent
page.docs.tasks.logs.description,Blackbird documentation summary,Save the log relevant to the failed operation.
page.docs.tasks.project-version.title,Blackbird documentation title,Update a project version | Incogent
page.docs.tasks.project-version.description,Blackbird documentation summary,Choose each version component and optionally include a VCS revision.
page.docs.tasks.upload.title,Blackbird documentation title,Upload a build | Incogent
page.docs.tasks.upload.description,Blackbird documentation summary,"Configure a publishing profile, validate it, and upload deliberately."
page.docs.providers.steam.title,Blackbird documentation title,Upload to Steam | Incogent
page.docs.providers.steam.description,Blackbird documentation summary,Set up Steam for the Upload Build Action.
page.docs.providers.meta.title,Blackbird documentation title,Upload to Meta Quest and Rift | Incogent
page.docs.providers.meta.description,Blackbird documentation summary,Set up Meta Quest and Rift for the Upload Build Action.
page.docs.providers.pico.title,Blackbird documentation title,Upload to PICO | Incogent
page.docs.providers.pico.description,Blackbird documentation summary,Set up PICO for the Upload Build Action.
page.docs.providers.stove.title,Blackbird documentation title,Upload to STOVE | Incogent
page.docs.providers.stove.description,Blackbird documentation summary,Set up STOVE for the Upload Build Action.
page.docs.providers.viveport.title,Blackbird documentation title,Upload to Viveport PC | Incogent
page.docs.providers.viveport.description,Blackbird documentation summary,Set up Viveport PC for the Upload Build Action.
page.docs.providers.custom.title,Blackbird documentation title,Use a Custom CLI uploader | Incogent
page.docs.providers.custom.description,Blackbird documentation summary,Connect a command-line uploader with explicit arguments and result rules.
page.docs.packages.manage.title,Blackbird documentation title,"Install, update, and remove packages | Incogent"
page.docs.packages.manage.description,Blackbird documentation summary,Choose the Actions and support packages available in your library.
page.docs.packages.library.title,Blackbird documentation title,Choose or move the package library | Incogent
page.docs.packages.library.description,Blackbird documentation summary,Keep installed packages and local content in the intended folder.
page.docs.packages.sharing.title,Blackbird documentation title,Export and import a setup | Incogent
page.docs.packages.sharing.description,Blackbird documentation summary,"Share projects, Workflows, and custom Actions with a reviewed profile."
page.docs.authoring.first-action.title,Blackbird documentation title,Create your first custom Action | Incogent
page.docs.authoring.first-action.description,Blackbird documentation summary,"Build a complete, read-only Action and understand each file."
page.docs.authoring.settings-model.title,Blackbird documentation title,Understand settings and variables | Incogent
page.docs.authoring.settings-model.description,Blackbird documentation summary,"Separate declarations, stored values, execution context, and script variables."
page.docs.authoring.define-settings.title,Blackbird documentation title,Define settings for an Action | Incogent
page.docs.authoring.define-settings.description,Blackbird documentation summary,"Choose identities, types, scopes, and validation deliberately."
page.docs.authoring.shared-settings.title,Blackbird documentation title,Share settings across Actions | Incogent
page.docs.authoring.shared-settings.description,Blackbird documentation summary,Configure one project fact and reuse it from multiple Actions.
page.docs.authoring.read-values.title,Blackbird documentation title,Read inputs and execution context | Incogent
page.docs.authoring.read-values.description,Blackbird documentation summary,Use the runtime instead of reading configuration files yourself.
page.docs.authoring.options-profiles.title,Blackbird documentation title,"Options, profiles, conditions, and arrays | Incogent"
page.docs.authoring.options-profiles.description,Blackbird documentation summary,Offer reusable configuration without duplicating Actions.
page.docs.authoring.scripts.title,Blackbird documentation title,Develop and debug Action scripts | Incogent
page.docs.authoring.scripts.description,Blackbird documentation summary,"Build scripts that handle tools, results, and failures clearly."
page.docs.authoring.libraries.title,Blackbird documentation title,Create and consume a shared library | Incogent
page.docs.authoring.libraries.description,Blackbird documentation summary,Share script functions without confusing code reuse with shared settings.
page.docs.authoring.discovery.title,Blackbird documentation title,Create a discovery provider | Incogent
page.docs.authoring.discovery.description,Blackbird documentation summary,Return verified device records through the supported discovery contract.
page.docs.troubleshooting.actions.title,Blackbird documentation title,An Action is missing or will not run | Incogent
page.docs.troubleshooting.actions.description,Blackbird documentation summary,Work through the likely causes and preserve useful diagnostics.
page.docs.troubleshooting.devices.title,Blackbird documentation title,A device is missing or cannot connect | Incogent
page.docs.troubleshooting.devices.description,Blackbird documentation summary,Work through the likely causes and preserve useful diagnostics.
page.docs.troubleshooting.builds.title,Blackbird documentation title,"A build, deployment, or upload failed | Incogent"
page.docs.troubleshooting.builds.description,Blackbird documentation summary,Work through the likely causes and preserve useful diagnostics.
page.docs.troubleshooting.packages.title,Blackbird documentation title,A package change failed | Incogent
page.docs.troubleshooting.packages.description,Blackbird documentation summary,Work through the likely causes and preserve useful diagnostics.
page.docs.troubleshooting.schedules.title,Blackbird documentation title,A scheduled run did not complete | Incogent
page.docs.troubleshooting.schedules.description,Blackbird documentation summary,Work through the likely causes and preserve useful diagnostics.
page.docs.troubleshooting.startup.title,Blackbird documentation title,Blackbird will not start or activate | Incogent
page.docs.troubleshooting.startup.description,Blackbird documentation summary,Work through the likely causes and preserve useful diagnostics.
page.docs.troubleshooting.authoring.title,Blackbird documentation title,Debug a custom Action | Incogent
page.docs.troubleshooting.authoring.description,Blackbird documentation summary,Work through the likely causes and preserve useful diagnostics.
page.docs.troubleshooting.reporting.title,Blackbird documentation title,Report a problem | Incogent
page.docs.troubleshooting.reporting.description,Blackbird documentation summary,Send a reproducible report without exposing private data.
page.docs.reference.keyboard.title,Blackbird documentation title,Keyboard and mouse controls | Incogent
page.docs.reference.keyboard.description,Blackbird documentation summary,Navigate Blackbird and understand selection versus editing.
page.docs.reference.preferences.title,Blackbird documentation title,App preferences | Incogent
page.docs.reference.preferences.description,Blackbird documentation summary,"Control presentation, startup panels, updates, and privacy."
page.docs.reference.command-line.title,Blackbird documentation title,Run Actions from the command line | Incogent
page.docs.reference.command-line.description,Blackbird documentation summary,Launch existing Actions and Workflows using the installed app.
page.docs.reference.updates.title,Blackbird documentation title,App updates and package updates | Incogent
page.docs.reference.updates.description,Blackbird documentation summary,Update the application separately from its installed Actions.
page.docs.reference.settings.title,Blackbird documentation title,Setting definition reference | Incogent
page.docs.reference.settings.description,Blackbird documentation summary,Look up the fields that describe an Action input.
page.docs.reference.manifest.title,Blackbird documentation title,Package manifest reference | Incogent
page.docs.reference.manifest.description,Blackbird documentation summary,Understand the file connecting a package to its scripts and dependencies.
page.docs.reference.runtime.title,Blackbird documentation title,PowerShell runtime reference | Incogent
page.docs.reference.runtime.description,Blackbird documentation summary,"Use the host-provided helpers for context, progress, and results."
